id;ingredients;method
0;18g ground espresso, or 1 espresso pod 100ml milk You will also need the right cup, 150-200ml capacity;STEP 1 Make around 35ml espresso using your coffee machine and pour into the base of your cup. STEP 2 Steam the milk with the steamer attachment so that it has around 1-2cm of foam on top. Hold the jug so that the spout is about 3-4cm above the cup and pour the milk in steadily. As the volume within the cup increases, bring the jug as close to the surface of the drink as possible whilst aiming to pour into the centre. Once the milk jug is almost touching the surface of the coffee, tilt the jug to speed up the rate of pour. As you accelerate, the milk will hit the back of the cup and start naturally folding in on itself to create a pattern on the top.
1;18g ground espresso (or 1 espresso pod) 150ml milk To serve cocoa powder (optional) You will also need the right cup, 200-250ml capacity;STEP 1 Make around 35ml espresso using a coffee machine and pour it into the base of your cup. STEP 2 Steam the milk with the steamer attachment so that it has around 4-6cm of foam on top. Hold the jug so that the spout is about 3-4cm above the cup and pour the milk in steadily. As the volume within the cup increases, bring the jug as close to the surface of the drink as possible whilst aiming to pour into the centre. Once the milk jug is almost touching the surface of the coffee, tilt the jug to speed up the rate of pour. As you accelerate, the milk will hit the back of the cup and start naturally folding in on itself to create a pattern on the top. Dust the surface with a little cocoa powder if you like.
2;18g ground espresso, or 1 espresso pod 250ml milk You will also need large cup, 300-350ml capacity;STEP 1 Make around 35ml espresso using your coffee machine and pour it into the base of your cup. STEP 2 Steam the milk with the steamer attachment so that it has around 2-3cm of foam on top. Hold the jug so that the spout is about 3-4cm above the cup and pour the milk in steadily. As the volume within the cup increases, bring the jug as close to the surface of the drink as possible whilst aiming to pour into the centre. Once the milk jug is almost touching the surface of the coffee, tilt to speed up the rate of pour. As you accelerate, the milk will hit the back of the cup and start naturally folding in on itself to create a pattern on the top.
3;3 tbsp instant coffee 2 tbsp sugar 400-500ml milk (we used whole milk);STEP 1 Whisk the coffee, sugar and 3 tbsp boiling water in a bowl for approximately 5 mins until the mixture is thick and fluffy with stiff peaks. This is easiest done using an electric whisk but can be done by hand. STEP 2 For hot coffee, heat the milk and pour into two heatproof glasses. For cold coffee, pour the cold milk into two glasses. Divide the coffee mixture in half and spoon evenly on top of the glasses. Serve and stir thoroughly before drinking.
4;two handfuls of ice 250ml milk 2 tbsp vanilla syrup 2 shots espresso or 50ml strong coffee 2 tbsp caramel sauce;STEP 1 Fill two tall glasses with ice and divide the milk and vanilla syrup between them before mixing well. STEP 2 Pour an espresso shot into each glass, then drizzle with the caramel sauce before serving.
5;2 espresso shots (60ml) 2 tsp sugar, honey or maple syrup (to taste) ice 100ml whole milk;STEP 1 Mix the hot espresso with the sugar until it dissolves. STEP 2 Fill a glass with ice and stir in the sweetened coffee. STEP 3 Pour over the milk and stir until combined.
6;18g ground espresso, or 1 espresso pod 50-100ml milk (or the minimum amount your machine will work with) You will also need small cup, 50-80ml capacity;STEP 1 Make around 35ml espresso using your coffee machine and pour into the base of your cup. STEP 2 Steam the milk with the steamer attachment so that it has around 1-2cm of foam on top, then spoon 2-3 teaspoons of the foam on top of the espresso (discard the rest of the milk).
7;18g ground espresso, or 1 espresso pod 250ml milk 1 tsp drinking chocolate You will also need large cup, 300-350ml capacity;STEP 1 Make around 35ml espresso using a coffee machine and pour into the base of your cup. Add the drinking chocolate and mix well until smooth. STEP 2 Steam the milk with the steamer attachment so that it has around 4-6cm of foam on top. Hold the jug so that the spout is about 3-4cm above the cup and pour the milk in steadily. As the volume within the cup increases, bring the jug as close to the surface of the drink as possible whilst aiming into the centre. Once the milk jug is almost touching the surface of the coffee, tilt to speed up the rate of pour. As you accelerate, the milk will hit the back of the cup and start naturally folding in on itself to create a pattern on the top.
8;150ml milk 25g milk or dark chocolate buttons ice 35ml freshly made espresso 30ml double cream, whipped (optional) pinch cocoa powder or cinnamon, or both (optional);STEP 1 Pour 50ml of the milk into a small pan and add the chocolate buttons. Mix well until melted, then leave to cool. STEP 2 Half-fill a large, tall glass with ice, then pour in the cooled chocolate milk and the remaining 100ml milk and stir to combine. STEP 3 Top up with more ice, then slowly pour in the espresso. Finish with a dollop of whipped cream and a dusting of cocoa powder or cinnamon – or both, if you like.
9;170g butter or margarine, plus extra for the tins 170g caster sugar 3 large eggs 170g self-raising flour 1 tbsp cooled instant coffee, dissolved in 1 tbsp hot water (add more if you like it stronger) For the icing 225g icing sugar 100g butter or margarine 1½ tbsp instant coffee, dissolved in 1 tbsp hot water strawberry jam (optional) walnuts or cherries, to decorate (optional);STEP 1 Heat the oven to 180C/160C fan. Line and butter two 18cm sandwich tins. Add the sugar and butter to a bowl and whisk until very fluffy and pale. STEP 2 Whisk the eggs in a mug with a fork, then add them gradually to the mixture with 1 tbsp of flour each time. (Make sure you don't use all the flour.) When the eggs have been fully combined into the mix, add the rest of the flour and fold it in gently. STEP 3 Add the dissolved coffee to the mixture, still folding. Divide into the sandwich tins and cook for 25-30 min until risen and firm and a skewer inserted into the middle comes out clean. Leave to cool in the tin for 5 mins then turn out onto a wire rack to cool completely. Can be frozen at this stage. STEP 4 Meanwhile, make the icing by beating the icing sugar with the butter until light and fluffy, then add the dissolved coffee. Whisk, then cover and set aside until ready to ice the cake. STEP 5 Spread half the icing on the bottom of one sponge and spread the strawberry jam on the bottom of the other, if using. Sandwich together, then spread the remaining icing on top. Decorate with walnuts or cherries, if you like.
